tic__tess_id,tic__ra,tic__dec,tic__Tmag,bjd0,period,morph_coeff,
0369218857, 313.992318, -36.448605, 11.82, 1325.553983, 0.3275155, 0.746,
0265015162, 126.766422, 3.514536, 9.62, 1491.810306, 0.3278391, 0.951,
0067808952, 64.555683, -6.259442, 11.79, 1438.327087, 0.3279029, 0.806,
0008245065, 157.361560, 39.768995, 8.23, 1870.756682, 0.3280228, 0.748,
0271799672, 111.549213, -75.904728, 11.39, 1491.713132, 0.3282683, 0.889,
0389658055, 321.071888, -44.917583, 11.22, 1325.358535, 0.3283473, 0.769,
0207496306, 246.933974, 56.766449, 11.07, 1930.304066, 0.3293302, 0.769,
0440051305, 3.479857, 44.384698, 9.64, 1765.060167, 0.3296757, 0.757,
0049735506, 352.690159, -10.586598, 11.92, 1354.493314, 0.3300894, 0.879,
0298559217, 317.706725, 27.330405, 11.01, 1711.451147, 0.3301871, 0.922,
0122891349, 278.400363, 46.594903, 10.81, 2010.707687, 0.3302671, 0.832,
0178859380, 194.707132, -36.975825, 9.09, 1570.979532, 0.3307902, 0.746,
0346429188, 96.770573, -16.510871, 13.94, 1468.466516, 0.3311382, 0.534,
0374265995, 347.883692, 36.893085, 9.14, 1738.932731, 0.3318931, 0.718,
0139703005, 66.494198, -21.482551, 10.21, 1438.276502, 0.3319240, 0.737,
0050273697, 30.083675, -74.332587, 9.33, 1325.263680, 0.3320699, 0.977,
0237915523, 56.185557, -61.098256, 8.98, 1325.781620, 0.3322736, 0.797,
0382631664, 118.801651, -60.814621, 13.38, 1535.560694, 0.3324723, 0.766,
0454190342, 78.922552, 1.077911, 15.24, 1438.208324, 0.3326118, 0.676,
0173795590, 349.960550, 44.125958, 10.94, 1738.561279, 0.3327207, 0.812,
0124205037, 196.990514, -31.013350, 9.76, 1570.986027, 0.3327345, 0.794,
0396953669, 63.889117, 3.367808, 8.91, 1438.318609, 0.3327633, 0.595,
0446127290, 145.939460, 55.952519, 7.38, 1870.564088, 0.3336468, 0.715,
0001450518, 75.204095, -32.211025, 11.26, 1438.085617, 0.3337474, 0.650,
0243352373, 290.268632, 56.328330, 10.24, 1683.995097, 0.3342969, 0.783,
0296449358, 141.401326, -53.251832, 6.42, 1544.173528, 0.3351379, 0.943,
0121134517, 58.000858, -21.930097, 10.31, 1410.947312, 0.3351707, 0.814,
0206609630, 22.551000, -59.583200, 12.19, 1325.458635, 0.3352714, 0.490,
0036883123, 43.395041, -9.208017, 9.13, 1411.049108, 0.3352718, 0.744,
0018534775, 266.300386, 33.452560, 11.17, 1983.734488, 0.3358641, 0.757,
0260541250, 97.004947, -56.572139, 12.67, 1598.485472, 0.3359386, 0.815,
0175458611, 350.809694, -37.515569, 8.97, 1354.297515, 0.3360290, 0.757,
0258773798, 286.177896, 66.301988, 11.36, 1931.217321, 0.3364697, 0.849,
0061730680, 289.082374, -44.147457, 10.06, 1656.595853, 0.3365551, 0.818,
