,TIC,period,morph,RA,DEC
378,3034524,0.3574713,0.556,82.14199,33.306049
379,71107089,0.3576366,0.847,66.78323,-12.646528
380,235000061,0.3577153,0.777,351.065056,-62.368523
381,235000060,0.3577154,0.782,351.064934,-62.369236
382,260708271,0.3588283,0.895,98.459586,-59.062769
383,467167691,0.359403,0.933,167.864156,-65.629876
384,432761331,0.359619,0.786,14.378732,37.638592
385,9845586,0.3601126,0.719,48.216508,-7.738929
386,272839425,0.3602724,0.908,296.844622,47.104339
387,32200310,0.3604377,0.726,332.445544,-27.067088
388,10393493,0.3604604,0.789,267.736034,33.545828
389,22457438,0.3606758,0.717,186.889632,-18.608055
390,402324760,0.3614124,0.808,353.783757,-15.822209
391,190693377,0.3618034,0.669,325.570364,44.487753
392,406951407,0.3618184,0.759,290.284889,51.033593
393,404854539,0.3622144,0.786,84.997612,-68.478379
394,207085748,0.3623789,0.741,23.137217,-49.528136
395,401928563,0.3625976,0.935,57.453143,-5.87324
396,147083089,0.3627438,0.739,321.196408,-47.180676
397,410392940,0.3628327,0.884,166.577361,-18.757759
398,251094451,0.3631129,0.959,38.066614,-5.914254
399,251094451,0.3631136,0.785,38.066614,-5.914254
400,233205987,0.3640697,0.868,265.757783,66.111869
401,446175401,0.3641392,0.761,201.721965,45.546302
402,376023519,0.3643775,0.829,317.282209,62.888904
403,106055469,0.3646438,0.628,157.6583,-35.966866
404,198408416,0.3647341,0.709,258.913296,58.864498
405,345482340,0.36507,0.746,68.518425,8.73389
406,352940699,0.3650807,0.876,61.263047,37.591802
407,382425148,0.3650911,0.813,350.069457,-44.06521
408,47831368,0.3659521,0.835,221.579315,-35.696279
409,164720673,0.3659915,0.889,25.728324,-20.124488
410,292474331,0.3666917,0.921,281.740371,-71.447352
411,232527356,0.3669901,0.835,210.444311,32.146639
412,201776479,0.3671508,0.76,33.421235,-59.700022
413,448913059,0.3677722,0.986,214.464347,-68.04702
414,155657581,0.3681396,0.585,206.395294,79.396748
415,239290086,0.3681596,0.77,300.282726,44.670333
416,123337161,0.3681651,0.879,30.882374,-30.084915
417,318185328,0.3683055,0.745,162.141798,-3.624495
418,147611185,0.3683311,0.999,148.769347,66.152972
419,441105436,0.3688966,0.759,323.829732,-27.380466
420,120499528,0.369151,0.772,285.410829,39.04114
421,165797593,0.369721,0.405,122.110884,32.041784
422,424723563,0.3697875,0.845,294.573575,59.074817
423,193823999,0.3698731,0.826,268.899343,43.805597
424,198560607,0.3701469,0.787,255.341041,42.163865
425,405764176,0.3701756,0.885,299.305301,57.881098
426,157175641,0.3702377,0.789,175.700339,-35.815973
427,233043818,0.3708289,0.765,259.603485,22.480901
428,241393039,0.3711218,0.748,24.388491,-2.140213
429,468343249,0.3716205,0.766,12.435527,77.893142
